feature_or_group,n_cols,base_score,importance_mean,importance_std,base_mae,imp_mae_mean,imp_mae_std,model
Personas_9-12,1,0.5118818377250128,0.004486687270273944,0.0002783832234679184,0.1977744889569705,0.001174231291322317,6.309277256794489e-05,Ridge_best
PROP,1,0.5118818377250128,0.0037504223686466182,0.0002501557479145165,0.1977744889569705,0.0007637447837217352,6.539118228860272e-05,Ridge_best
Personas_65+,1,0.5118818377250128,0.0024788322462664307,0.00016125794681636077,0.1977744889569705,0.0009215218552353743,4.5475064318344685e-05,Ridge_best
TRIMESTRE,1,0.5118818377250128,0.0021371441397800522,0.0001890693543607569,0.1977744889569705,0.0005194619248545325,4.099363625648838e-05,Ridge_best
Max_Nivel_Educativo,1,0.5118818377250128,0.0019018547911340278,0.00013078195530254763,0.1977744889569705,0.0003920141735307516,4.2750069556153435e-05,Ridge_best
Personas_18-24,1,0.5118818377250128,0.0017124662421080497,0.00013626633045066454,0.1977744889569705,0.00031927164502838226,3.607811688245073e-05,Ridge_best
Personas_0-3,1,0.5118818377250128,0.0015647533968196625,0.0001806670458414988,0.1977744889569705,0.000431332525487374,4.055887508460204e-05,Ridge_best
H16,1,0.5118818377250128,0.0006211584541263545,7.861445398380949e-05,0.1977744889569705,0.00011305092854071256,1.585669746062222e-05,Ridge_best
P05,1,0.5118818377250128,0.0005725347978804529,7.60650302909348e-05,0.1977744889569705,0.00015721935031962804,1.4966746106160883e-05,Ridge_best
V01,1,0.5118818377250128,0.00048572250098978623,9.277307194888878e-05,0.1977744889569705,7.150934095258299e-05,2.3530001348248214e-05,Ridge_best
Personas_13-17,1,0.5118818377250128,0.0002726829284747841,6.302180461198322e-05,0.1977744889569705,0.0001127003150735976,1.9008643439328533e-05,Ridge_best
Reg_rk,1,0.5118818377250128,0.00021959863828358017,3.840875308424819e-05,0.1977744889569705,4.4859037001501735e-05,1.1191288895179841e-05,Ridge_best
H15,1,0.5118818377250128,0.00013520622885917488,3.792424134127026e-05,0.1977744889569705,6.850969889186375e-05,1.0107287957849573e-05,Ridge_best
ESTRUCTURA_LABORAL,3,0.48831087567360987,0.4881507820745007,0.0029680265242076212,0.20176810299809536,0.0916496126688028,0.0005479107140945152,Lasso_best
P03,1,0.48831087567360987,0.11737736430123859,0.0009803418189727874,0.20176810299809536,0.024566166963598278,0.0002713142491948648,Lasso_best
CALIDAD_LABORAL,1,0.48831087567360987,0.11037838536964513,0.001340239202131295,0.20176810299809536,0.022740560783101983,0.00025590793576815203,Lasso_best
EDUCACION,2,0.48831087567360987,0.05213066517808995,0.0007203345513770872,0.20176810299809536,0.01165975151641994,0.00020027785106785183,Lasso_best
P02,1,0.48831087567360987,0.025997138196365253,0.000505205147618235,0.20176810299809536,0.006075451898059774,0.0001451211353903455,Lasso_best
AGLO_rk,1,0.48831087567360987,0.014901634811811023,0.000517912976295524,0.20176810299809536,0.003635596193005212,0.00012004831575123408,Lasso_best
CH07,1,0.48831087567360987,0.010423950889972548,0.00039366339559947043,0.20176810299809536,0.0019484617457462994,9.70821882530758e-05,Lasso_best
